TCP_Variant,Flow_ID,RTT_ms,Port,Throughput_Mbps,Data_Received_MB,Avg_Delay_ms,Tx_Packets,Rx_Packets,Loss_Rate_Percent
TcpLinuxReno,0,50,5000,47.3829,1065.52,112.222,737755,726051,1.58643
TcpLinuxReno,1,100,5001,11.1007,249.558,213.111,178223,170934,4.08982
TcpLinuxReno,2,150,5002,13.4677,302.686,312.002,215553,203165,5.74708
TcpLinuxReno,3,200,5003,8.56101,192.355,413.778,139556,130133,6.75213
