Time,CongestionWindow
1.19336,15400
1.49805,16800
1.64787,18200
2.0201,19600
2.42722,21000
2.8925,22400
3.38104,23800
3.90448,25200
4.47445,26600
5.07931,28000
5.70744,29400
6.3472,30800
6.81474,32200
7.55919,33600
8.13853,35000
8.94114,36400
9.73211,37800
10.5813,39200
11.4885,40600
12.4424,42000
13.4311,43400
14.4431,44800
14.5711,43400
15.5853,1400
15.6645,2800
15.6993,4200
15.7459,5600
15.9669,7000
15.9901,8400
16.1995,9800
16.3275,11200
16.4089,12600
16.4554,14000
16.4787,15400
16.5019,16800
16.5485,18200
16.5717,19600
16.595,21000
17.7349,22400
18.2816,23800
18.8865,25200
19.5263,26600
20.2125,28000
20.9105,29400
21.6782,30800
22.4575,32200
23.2834,33600
24.1209,35000
24.6327,36400
25.5749,37800
26.4589,39200
27.2499,40600
28.2852,42000
29.3437,43400
30.4022,44800
31.4607,46200
32.4378,47600
33.2055,49000
33.8685,50400
34.5781,51800
35.276,53200
36.0553,54600
36.8463,56000
37.6954,57400
38.5795,58800
39.5217,60200
40.4755,61600
41.4758,63000
42.4878,64400
43.5812,65800
44.5932,67200
44.8376,66227
44.8492,66653
44.8608,67079
44.8958,67505
44.9074,67931
44.9191,66957
44.9307,67383
44.9656,67809
45.0005,68235
45.0121,68661
45.0238,69087
45.0354,69514
45.047,69940
45.0586,70366
45.0703,70792
45.0819,71218
45.0935,71644
45.1052,72070
45.1168,72496
45.1284,72922
45.1401,73348
45.1517,73774
45.1867,74200
45.2448,73714
45.2797,71827
45.3146,71340
45.3379,70853
45.3844,70366
45.4309,69879
45.4542,69392
45.4775,68905
45.5007,68418
45.5822,67931
45.5938,67444
45.6054,66957
45.6636,66470
45.6752,65983
45.6985,65496
45.7101,65009
45.7334,64522
45.745,64035
45.7683,63548
45.7799,63061
45.8148,62574
45.8381,62087
45.8613,61600
45.8845,61114
45.9078,60627
45.9544,60140
46.0009,59653
46.0125,57400
46.0241,54600
46.0357,53200
46.0474,51800
46.0591,50400
46.0707,49000
46.0823,46200
46.094,44800
46.1056,43400
46.1172,42000
46.4197,40600
48.1875,42000
49.0599,43400
49.9672,44800
50.921,46200
51.8749,47600
52.8985,49000
53.9221,50400
55.0155,51800
56.074,53200
56.2951,52656
56.33,53512
56.3765,54367
56.423,55223
56.4696,56078
56.5045,56934
56.5394,57789
56.5743,58645
56.6091,59500
56.644,60356
56.6789,61212
56.7022,62067
56.7255,62923
56.772,63778
56.8185,64634
56.8418,65489
56.8651,66345
56.9116,67200
56.9465,66928
57.0046,66656
57.0163,66384
57.0512,66112
57.0628,65839
57.0977,65567
57.1093,65295
57.1326,65023
57.1675,64750
57.2024,64478
57.2373,64206
57.2722,63934
57.2954,63662
57.3188,63389
57.342,63117
57.4002,61445
57.4352,61173
57.4701,60900
57.4955,1400
58.4006,2800
58.7961,4200
58.8077,5600
59.2265,7000
59.2381,8400
59.2498,9800
59.2614,11200
59.7499,12600
59.7616,14000
59.7732,15400
59.7848,16800
59.7964,18200
59.8079,19600
