Time,CongestionWindow
1.00057,15400
1.00832,18200
1.01608,21000
1.02383,23800
1.03159,26600
1.23546,28000
1.24248,30800
1.25023,33600
1.25799,36400
1.26574,39200
1.2735,42000
1.28125,44800
1.28901,47600
1.29676,50400
1.30451,53200
1.47737,56000
1.48955,58800
1.49731,61600
1.50506,64400
1.51282,67200
1.52057,70000
1.52833,72800
1.53608,75600
1.54384,78400
1.55159,81200
1.55935,84000
1.57486,86800
1.58261,89600
1.59037,92400
1.59812,95200
1.60587,98000
1.61363,100800
1.62138,103600
1.62914,106400
1.92382,109200
1.93157,112000
1.93933,114800
1.94708,117600
1.95483,120400
1.96259,123200
1.97034,126000
1.98391,128800
1.99749,131600
2.02075,134400
2.0285,137200
2.05955,135830
2.06731,135859
2.08282,135888
2.09833,135917
2.10996,135946
2.12159,135975
2.12935,136005
2.13904,136034
2.14877,136063
2.15846,136092
2.17591,134721
2.18754,134750
2.20114,134780
2.21471,134809
2.23022,133438
2.2341,133467
2.24573,133496
2.26124,133525
2.27287,133555
2.2845,132184
2.30195,132213
2.3194,132242
2.33685,128800
2.34848,127400
2.36011,126000
2.37174,123200
2.38341,121800
2.39501,120400
2.40668,117600
2.42215,116200
2.43572,114800
2.45123,112000
2.46868,110600
2.48031,109200
2.49776,106400
2.51327,105000
2.52878,102200
2.54429,100800
2.56561,98000
2.58306,96600
2.59861,93800
2.61408,91000
2.62959,89600
2.64703,86927
2.66258,85400
2.68003,82600
2.68387,79800
2.69748,78400
2.71295,75600
2.72846,74200
2.74401,71400
2.76529,70000
2.78274,68600
4.27889,1400
4.52078,2800
4.77356,4200
5.03951,7000
5.2434,8400
5.28741,11200
5.29516,14000
5.49054,16800
5.5487,19600
5.55646,22400
5.56421,25200
5.57197,28000
5.73245,30800
5.74021,33600
5.81388,34300
6.09886,35700
6.40711,37100
6.72699,38500
7.05269,39900
7.37644,41300
7.71571,42700
8.06273,44100
8.41751,45500
8.78585,46900
9.16971,48300
9.55357,49700
9.95293,51100
10.3639,52500
10.7904,53900
11.2228,55300
11.6667,56700
12.1689,54693
12.1766,54785
12.1844,54877
12.1921,54969
12.3123,55061
12.3162,55153
12.324,55245
12.3278,55337
12.3395,55429
12.3433,55522
12.355,55614
12.3588,55706
12.4519,55798
12.4558,55890
12.4597,55982
12.4674,56074
12.479,56166
12.4868,56258
12.4946,56350
12.5062,55697
12.5139,55043
12.5178,54389
12.5217,53735
12.5256,53081
12.5295,52427
12.5333,51773
12.5372,51119
12.5411,50465
12.545,49811
12.5488,49157
12.5527,48503
12.5566,47849
12.5682,47195
12.5876,46541
12.5954,45887
12.5992,45233
12.6109,44579
12.6148,43925
12.6264,43272
12.6302,28350
12.6302,29750
12.6302,32550
12.9559,33950
13.3165,35350
13.6131,36750
13.8807,38150
14.1424,39550
14.4022,40950
14.6639,42350
14.9431,43750
15.23,45150
15.5324,46550
15.8348,47950
