Time,CongestionWindow
1.04004,15400
1.05167,18200
1.0633,21000
1.07493,23800
1.08657,26600
1.29238,28000
1.30722,30800
1.31885,33600
1.33049,36400
1.34212,39200
1.35375,42000
1.36538,44800
1.37701,47600
1.38865,50400
1.40028,53200
1.62129,56000
1.63292,58800
1.64455,61600
1.65618,64400
1.66781,67200
1.67945,70000
1.69108,72800
1.70271,75600
1.71434,78400
1.73761,81200
1.74924,84000
1.76087,86800
1.7725,89600
1.78413,92400
1.79577,95200
1.8074,98000
1.81903,100800
1.83066,103600
1.84229,106400
2.16217,109200
2.18544,112000
2.2087,114800
2.23197,117600
2.25523,120400
2.29013,123200
2.3367,121833
2.34833,121866
2.35996,121898
2.37159,121931
2.38904,121963
2.39486,121996
2.41235,122028
2.43561,122061
2.45306,120694
2.46473,120726
2.47637,120759
2.488,119391
2.49963,119424
2.51126,119456
2.52289,119489
2.53453,118121
2.54616,118154
2.55779,118187
2.56361,118219
2.57524,116852
2.58687,116884
2.61013,116917
2.62758,116949
2.64503,115582
2.66248,113400
2.67993,110600
2.69737,109200
2.71482,107800
2.73227,105000
2.74972,103600
2.76717,100800
2.78461,99400
2.80206,96600
2.81951,95200
2.83696,92400
2.85441,89600
2.87185,88200
2.8893,85400
2.91257,84000
2.93001,81200
2.94746,78400
2.96491,77000
2.98236,74200
2.99981,71400
3.01725,70000
3.0347,67200
3.05215,64400
3.0696,63000
3.08705,61600
4.65598,1400
4.93512,2800
5.21643,4200
5.49761,7000
5.70342,8400
5.77812,11200
5.78972,14000
6.01225,16800
6.10533,19600
6.11697,22400
6.1286,25200
6.14023,28000
6.33794,30800
6.74506,32200
7.17545,33600
7.60583,35000
8.07111,36400
8.54802,37800
9.14125,39200
9.64143,40600
10.1765,42000
10.7232,43400
11.2932,44800
11.8631,46200
12.468,47600
13.0845,49000
13.7243,50400
14.3349,51800
14.4106,50480
14.4222,50560
14.4455,50640
14.4629,50720
14.4804,50800
14.4862,50880
14.5967,49560
14.6433,49640
14.6491,49720
14.6607,49800
14.6665,49880
14.684,49960
14.6898,50040
14.7131,50120
14.7189,50200
14.7538,50280
14.7596,50360
14.8061,50440
14.8119,49780
14.8468,49120
14.8527,48460
14.8643,47800
14.8817,47140
14.8875,46480
14.8934,45820
14.8992,45160
14.905,44500
14.9108,43840
14.9283,43180
14.9457,42520
14.9515,41860
14.9632,41200
14.969,40540
14.9806,39880
14.9922,39220
14.9981,38560
15.0213,37900
15.0388,35840
15.0504,35180
15.0562,34520
15.1201,33860
15.1492,33200
15.155,32540
15.1667,31880
15.1725,31220
15.1841,30560
15.1899,29900
15.2016,29240
15.2074,28580
15.2306,27920
15.2365,25900
15.4109,27300
15.5679,28700
15.8409,30100
16.1084,31500
16.3837,32900
16.6822,34300
17.0021,35700
17.3627,37100
17.7408,38500
18.2758,39900
18.6888,41300
19.1191,42700
19.5612,44100
20.0672,45500
20.5499,46900
21.0501,48300
21.5619,49700
22.1028,51100
22.6553,52500
23.2252,53900
23.8068,55300
24.5338,56700
25.1329,58100
25.761,59500
26.3717,60900
26.9592,58886
26.9766,58971
26.9824,59057
26.9882,59142
26.9999,59227
27.0115,59313
27.0231,59398
27.0348,59483
27.0464,59569
27.058,59654
27.1162,59740
27.122,59825
27.1395,59910
27.1453,59996
27.1569,60081
27.1627,60166
27.1685,60252
27.1744,60337
27.1802,60422
27.186,60508
27.1918,60593
27.1976,59936
27.2034,59279
27.2092,58621
27.2151,57964
27.2209,57307
27.3139,56649
27.3198,55992
27.343,55335
27.3488,54677
27.3779,54020
27.3837,53363
27.4012,52705
27.407,52048
27.4244,51391
27.4303,50733
27.4477,50076
27.4535,49419
27.4826,48761
27.4884,48104
27.4942,47447
27.5117,46790
27.5175,30450
27.5175,31850
27.5175,34650
27.7675,36050
28.1049,37450
28.4538,38850
28.9249,40250
29.3204,41650
29.7275,43050
30.1579,44450
30.6057,45850
31.0594,47250
31.5363,48650
32.0249,50050
32.6181,51450
33.1473,52850
33.6882,54250
34.2466,55650
34.8747,57050
35.4737,58450
36.0902,59850
36.7184,61250
37.4337,62650
37.9281,60292
37.9398,60384
37.9514,60475
37.963,60567
37.9921,60659
38.0096,60750
38.027,60842
38.0445,59534
38.0562,59625
38.0678,59717
38.0794,58409
38.0911,58500
38.1027,58592
38.1143,58684
38.126,58775
38.1376,57467
38.1492,57559
38.1667,57650
38.1783,57742
38.1899,56434
38.1958,56525
38.2016,55871
38.2074,55217
38.2132,54563
38.219,52509
38.3004,51855
38.3063,51200
38.3121,50546
38.3179,49892
38.3237,49238
38.3295,48584
38.347,47930
38.3528,47275
38.3935,46621
38.3993,45967
38.4168,45313
38.4226,44659
38.4284,44005
38.4458,43350
38.4517,42696
38.4691,42042
38.4749,41388
38.5215,40734
38.5273,40080
38.5563,39425
38.568,38771
38.5796,38117
38.5912,37463
38.6029,36809
38.6145,36155
38.6261,35500
38.6378,34846
38.6494,34192
38.661,33538
38.6668,31325
38.7423,32725
38.7423,34125
39.0157,35525
39.4228,36925
39.8416,38325
40.2894,39725
40.7489,41125
41.2258,42525
41.7143,43925
42.2436,45325
42.7728,46725
43.3195,48125
43.8779,49525
44.4885,50925
45.0876,52325
45.7041,53725
46.3322,55125
47.0011,56525
47.6699,57925
48.3445,59325
48.9844,57484
48.9902,57567
48.996,57650
49.0018,57733
49.0076,57816
49.0309,57899
49.0425,57982
49.0541,58065
49.0716,58148
49.0833,58231
49.0949,56915
49.1066,56998
49.1182,57081
49.1298,55764
49.1531,55847
49.1938,55930
49.1996,56013
49.2171,56096
49.2229,56179
49.3101,56262
49.3159,55604
49.3799,54946
49.3857,54287
49.3916,53629
49.3974,52970
49.4032,52312
49.409,51653
49.4323,50995
49.4381,50336
49.4439,49678
49.4497,49020
49.4555,48361
49.4613,47703
49.4904,47044
49.4962,46386
49.5021,45727
49.5079,45069
49.5137,44410
49.5311,43752
49.5369,43093
49.5427,42435
49.5485,41777
49.5544,41118
49.5602,40460
49.5834,39801
49.5951,39143
49.6125,38484
49.63,37826
49.6474,37167
49.6648,36509
49.6706,35851
49.6881,35192
49.6939,29662
49.6939,31062
49.6939,32462
49.7637,33862
50.2115,35262
50.6826,36662
51.1362,38062
51.6131,39462
52.1017,40862
52.7298,42262
53.2533,43662
53.8,45062
54.3583,46462
54.9632,47862
55.5564,49262
56.1729,50662
56.801,52062
57.4873,53462
58.1445,54862
58.825,56262
59.4764,54681
59.488,54762
59.5113,54842
59.5346,54923
59.552,55003
59.5695,55084
59.5811,55165
59.6045,53845
59.6219,53926
59.6393,52606
59.6568,52687
59.6742,52767
59.6917,52848
59.7091,52929
59.7557,53009
59.7615,53090
59.7731,53170
59.7906,53251
59.808,53331
59.8255,52672
59.8429,52012
59.8604,51352
59.8778,50693
59.8894,50033
59.965,49373
59.9709,48714
59.9825,48054
