Time,CongestionWindow
1.00057,15400
1.23546,16800
1.2735,18200
1.50894,19600
1.75085,21000
1.99127,22400
2.23119,23800
2.46645,25200
2.70448,26600
2.93818,28000
3.17709,29400
3.42094,30800
3.66909,32200
3.74663,33600
4.00835,35000
4.27977,36400
4.56669,37800
4.86331,39200
5.16962,40600
5.49144,42000
5.82489,43400
6.16221,44800
6.51505,46200
6.88921,47600
7.27113,49000
7.65499,50400
8.05629,51800
8.46729,53200
8.89767,54600
9.33775,56000
9.76813,57400
9.88449,56000
10.8713,54600
12.3288,1400
13.353,2800
13.6998,4200
14.0448,5600
14.2487,7000
14.5996,8400
14.7505,9800
14.9754,11200
15.3437,12600
15.7392,14000
16.1522,15400
16.3363,16800
16.7551,18200
17.0226,19600
17.4724,21000
17.9532,22400
18.3487,23800
18.7519,25200
19.1668,26600
19.5972,28000
20.0392,29400
20.2059,30800
20.6634,32200
21.1287,33600
21.5087,35000
22.0011,36400
22.5052,37800
23.017,39200
23.5443,40600
24.091,42000
24.6416,43400
25.2077,44800
25.7699,46200
26.305,47600
26.7819,49000
27.2549,50400
27.6543,51800
28.0323,53200
28.4065,54600
28.7167,56000
29.1141,57400
29.4417,58800
29.8605,60200
30.2792,61600
30.7212,63000
31.1594,64400
31.6285,65800
32.0434,67200
32.5397,68600
33.036,70000
33.5517,71400
34.0596,72800
34.6025,74200
35.1453,75600
35.7075,77000
36.2775,78400
36.3201,77571
36.324,78141
36.3279,78712
36.3318,79282
36.3473,79852
36.3512,80423
36.3589,80993
36.3667,81563
36.3744,82134
36.3822,82704
36.3899,83275
36.3977,83845
36.4054,84415
36.4132,84986
36.421,85556
36.4287,86126
36.4365,86697
36.4442,87267
36.452,87838
36.4597,88408
36.4675,88978
36.4752,89549
36.4908,90119
36.6226,90689
36.6265,91260
36.6381,91830
36.642,92400
36.7234,91986
36.7273,91571
36.735,91156
36.7428,89600
36.7505,88200
36.7583,86800
36.766,85400
36.7738,84000
36.7816,82600
36.7854,81200
36.7893,79800
36.7932,78400
36.7971,77000
36.8009,75600
36.8048,74200
36.8087,72800
36.8203,71400
36.8242,70000
36.8281,68600
36.832,67200
36.8475,65800
36.8553,64400
36.863,61600
36.8785,60200
36.8863,58800
36.8901,57400
36.894,56000
36.8979,54600
36.9056,53200
37.2895,51800
37.968,53200
38.3693,54600
38.693,56000
39.1002,57400
39.5112,58800
39.9415,60200
40.3487,61600
40.8023,63000
41.1823,64400
41.6553,65800
42.1284,67200
42.6247,68600
42.7294,68005
42.7333,68809
42.741,69613
42.7526,70418
42.7759,71222
42.7798,72026
42.7875,72830
42.7953,73635
42.8031,74439
42.8224,75243
42.8341,76047
42.8457,76852
42.8961,77656
42.9,78460
42.9077,79264
42.9116,80069
42.9892,80873
42.993,81677
43.0008,82481
43.0163,83286
43.0241,84090
43.0318,84894
43.0357,85698
43.0396,86503
43.0434,86205
43.0473,85907
43.0512,85609
43.0551,85311
43.059,85013
43.0628,84715
43.0667,84418
43.0783,84120
43.0822,83822
43.0861,83524
43.09,83226
43.0939,81200
43.0977,79800
43.1016,78400
43.1055,77000
43.1327,75600
43.1443,74200
43.1559,71400
43.1676,70000
43.1792,68600
43.1908,67200
43.2024,65800
43.2141,64400
43.2257,63000
43.2412,61600
43.2529,60200
43.2645,57400
43.2761,56000
43.2877,54600
43.2994,53200
43.311,51800
43.7996,50400
44.5943,51800
44.8658,53200
45.1876,54600
45.5094,56000
45.8855,57400
46.2345,58800
46.5679,60200
46.9014,61600
47.2581,63000
47.5993,64400
47.9793,65800
48.3592,67200
48.7625,68600
49.1774,70000
49.6116,71400
50.0381,72800
50.4918,74200
50.9532,75600
51.434,77000
51.9109,78400
52.4149,79800
52.9112,81200
53.4347,82600
53.962,84000
54.5126,85400
55.0593,86800
55.2028,85680
55.2066,85960
55.2105,86240
55.2338,86520
55.2493,86800
55.2532,87080
55.257,87360
55.2609,87640
55.2842,87920
55.2958,88200
55.3036,88480
55.3113,88760
55.3191,89040
55.323,89320
55.3423,89600
55.3462,89880
55.3579,90160
55.3617,90440
55.3734,90720
55.3772,91000
55.3889,91280
55.3928,91560
55.4044,91840
55.4083,92120
55.4199,92400
55.4238,92680
55.4276,92960
55.4393,93240
55.4858,93520
55.4897,93800
55.5595,92400
55.5634,91000
55.5711,89600
55.5827,88200
55.5944,86800
55.606,85400
55.6176,84000
55.6254,82600
55.6331,81200
55.6409,79800
55.6487,78400
55.6564,77000
55.6642,75600
55.672,74200
55.6836,72800
55.6913,70000
55.6991,68600
55.7068,67200
55.7146,65800
55.7224,64400
55.7301,63000
55.7379,61600
55.7417,60200
55.7456,58800
55.7689,57400
55.7766,56000
55.7806,54600
55.7922,53200
55.7961,50400
56.304,49000
57.0522,50400
57.4361,51800
57.6842,53200
58.0875,54600
58.483,56000
58.9095,57400
59.336,58800
59.7857,60200
